n,current_add_ns,stream_add_ns,current_sub_ns,stream_sub_ns,current_add_ns_per_limb,stream_add_ns_per_limb,current_sub_ns_per_limb,stream_sub_ns_per_limb,reps
1,1.128776667,1.592468673,1.155749351,1.547119387,1.128776666667,1.592468672943,1.155749351044,1.547119387003,1200000
2,1.162419772,1.619352774,1.156821667,1.555603703,0.581209885885,0.809676387109,0.578410833333,0.777801851651,600000
3,1.348869128,1.633083417,1.349144127,1.544714106,0.449623042609,0.544361139097,0.449714709047,0.514904701906,400000
4,1.767243103,1.605766571,1.734160422,1.544073972,0.441810775856,0.401441642639,0.433540105597,0.386018492902,300000
5,1.765741667,1.608858333,1.734196097,1.544086765,0.353148333333,0.321771666667,0.346839219346,0.308817353044,240000
6,1.766038509,1.602230967,1.734194303,1.545690901,0.294339751570,0.267038494423,0.289032383867,0.257615150136,200000
7,1.765824151,1.603749592,1.734129368,1.544987896,0.252260592975,0.229107084525,0.247732766904,0.220712556612,171428
8,1.542052773,1.360699453,1.548958042,1.355408153,0.192756596579,0.170087431585,0.193619755210,0.169426019133,150000
9,1.936261165,5.288808394,1.917650412,2.537368843,0.215140129443,0.587645377057,0.213072267972,0.281929871491,133333
10,2.119572011,5.264151258,2.100258333,2.526545612,0.211957201070,0.526415125784,0.210025833333,0.252654561212,120000
11,2.302000073,5.260868768,2.281952096,2.525276135,0.209272733939,0.478260797105,0.207450190538,0.229570557771,109090
12,2.898604056,5.215227086,2.674446511,2.516224513,0.241550337986,0.434602257198,0.222870542589,0.209685376105,100000
13,2.883043723,5.239313647,2.687678059,2.514657451,0.221772594091,0.403024126685,0.206744466063,0.193435188549,92307
14,2.881553466,5.233210065,2.687499271,2.528266449,0.205825247573,0.373800718944,0.191964233631,0.180590460636,85714
15,2.869473921,5.265017624,2.687048471,2.525811209,0.191298261402,0.351001174912,0.179136564758,0.168387413963,80000
16,2.685315058,2.518233090,2.697572097,2.528156997,0.167832191142,0.157389568139,0.168598256070,0.158009812287,75000
17,3.083052384,6.369171058,2.876506835,3.611168563,0.181356022591,0.374657121050,0.169206284398,0.212421680151,70588
18,3.260713054,6.365395287,3.076199619,3.605066975,0.181150725203,0.353633071525,0.170899978833,0.200281498593,66666
19,3.330937188,6.374083633,3.294705342,3.615227510,0.175312483594,0.335478085940,0.173405544324,0.190275132116,63157
20,3.918610852,6.368740314,3.643495217,3.607383333,0.195930542594,0.318437015682,0.182174760841,0.180369166667,60000
21,3.899709506,6.365869877,3.667640831,3.626811087,0.185700452658,0.303136660817,0.174649563376,0.172705289857,57142
22,3.913753597,6.445018883,3.678246045,3.594038169,0.177897890792,0.292955403779,0.167193002045,0.163365371314,54545
23,3.915593376,6.366535697,3.649278473,3.606359124,0.170243190272,0.276805899877,0.158664281435,0.156798222772,52173
24,3.723802096,3.705311788,3.492101264,3.603775471,0.155158420660,0.154387991147,0.145504219325,0.150157311310,50000
25,4.128817231,7.444657403,4.043076154,4.754936677,0.165152689247,0.297786296119,0.161723046159,0.190197467089,48000
26,4.319880419,7.442638934,4.253910820,4.745260741,0.166149246867,0.286255343616,0.163611954627,0.182510028481,46153
27,4.583882652,7.409070458,4.473821577,4.733394834,0.169773431557,0.274410016964,0.165697095453,0.175310919776,44444
28,5.191508223,7.403289781,4.744850111,4.698632694,0.185411007982,0.264403206453,0.169458932529,0.167808310500,42857
29,5.197312776,7.417621188,4.785859269,4.733467031,0.179217681945,0.255780040964,0.165029629975,0.163223001059,41379
30,5.168083192,7.434328284,4.762480938,4.711253875,0.172269439723,0.247810942786,0.158749364599,0.157041795820,40000
31,5.184213245,7.395221490,4.760997030,4.710267338,0.167232685328,0.238555531948,0.153580549341,0.151944107685,38709
32,4.424785368,4.853002346,4.281684132,4.636026667,0.138274542740,0.151656323326,0.133802629123,0.144875833333,37500
33,4.737248756,8.248968817,4.652965275,5.858592525,0.143552992600,0.249968752031,0.140998947713,0.177533106829,36363
34,4.988553295,8.263663408,4.772562461,5.846495949,0.146722155741,0.243048923777,0.140369484149,0.171955763213,35294
35,5.273665792,8.147231213,4.997287523,5.819435938,0.150676165479,0.232778034668,0.142779643503,0.166269598223,34285
36,5.864363058,8.266432664,5.594631074,5.799754042,0.162898973841,0.229623129565,0.155406418716,0.161104278939,33333
37,5.975827835,8.331154818,5.655186236,5.804272767,0.161508860405,0.225166346444,0.152842871238,0.156872236933,32432
38,5.894468543,8.224259119,5.664903892,5.735475700,0.155117593242,0.216427871541,0.149076418206,0.150933571066,31578
39,5.811840010,8.114126020,5.534416640,5.713055628,0.149021538728,0.208054513322,0.141908118964,0.146488605840,30769
40,5.496800000,5.972867571,5.248808452,5.799873338,0.137420000000,0.149321689277,0.131220211312,0.144996833439,30000
41,5.802015371,9.317824691,5.493201694,6.906510452,0.141512570036,0.227264016850,0.133980529133,0.168451474445,29268
42,6.000664847,9.242240806,5.788983763,6.926148892,0.142872972550,0.220053352528,0.137832946729,0.164908306958,28571
43,6.311478934,9.436474382,6.116186586,6.922131441,0.146778579856,0.219452892603,0.142236897358,0.160979800960,27906
44,7.063178351,9.264655204,6.822297991,6.872612632,0.160526780714,0.210560345546,0.155052227066,0.156195741646,27272
45,7.019832046,9.276334046,6.804395110,6.882615379,0.155996267693,0.206140756574,0.151208780220,0.152947008419,26666
46,7.051291881,9.261672928,6.767859880,6.883595247,0.153288953928,0.201340715826,0.147127388705,0.149643374940,26086
47,7.081189049,9.276746554,6.818317084,6.911301692,0.150663596797,0.197377586253,0.145070576248,0.147048972164,25531
48,6.833693305,7.133258679,6.571897124,6.986640534,0.142368610511,0.148609555804,0.136914523419,0.145555011133,25000
49,7.024738733,10.164706843,6.710750888,7.957782133,0.143362014956,0.207442996797,0.136954099757,0.162403716999,24489
50,7.150349942,10.195234723,6.840783170,7.947934022,0.143006998834,0.203904694464,0.136815663403,0.158958680440,24000
51,7.320543871,10.197543457,7.050905074,7.962567981,0.143540075899,0.199951832490,0.138253040657,0.156128783940,23529
52,7.991421144,10.192720971,7.544273090,7.949040170,0.153681175843,0.196013864818,0.145082174800,0.152866157113,23076
53,7.980875403,10.215165835,7.578127070,7.945555703,0.150582554774,0.192738978017,0.142983529616,0.149916145335,22641
54,8.018358531,10.193107172,7.541691041,7.924866154,0.148488120950,0.188761243922,0.139660945200,0.146756780625,22222
55,8.012144265,10.192623139,7.542692149,7.965401888,0.145675350267,0.185320420702,0.137139857255,0.144825488873,21818
56,7.785407725,8.179251447,7.454269715,7.967204702,0.139025137952,0.146058061548,0.133111959203,0.142271512542,21428
57,8.045737355,11.195156695,7.827949838,8.980908961,0.141153286922,0.196406257810,0.137332453307,0.157559806340,21052
58,8.265803209,11.207209819,7.981489537,8.998356773,0.142513848431,0.193227755505,0.137611888561,0.155144082301,20689
59,8.492430201,11.252752654,8.870839274,8.990415807,0.143939494925,0.190724621260,0.150353208039,0.152379928925,20338
60,9.188050000,11.175800000,8.630292427,8.984751525,0.153134166667,0.186263333333,0.143838207115,0.149745858747,20000
61,9.204990091,11.195873145,8.695736139,8.979667565,0.150901476901,0.183538904016,0.142553051453,0.147207664995,19672
62,9.215473608,11.208759426,8.667734270,9.018181818,0.148636671098,0.180786442350,0.139802165646,0.145454545455,19354
63,9.192945623,11.197805659,8.672457227,9.003621667,0.145919771786,0.177742946970,0.137658051220,0.142914629635,19047
64,8.447702314,9.187276702,8.178293333,8.974193548,0.131995348651,0.143551198475,0.127785833333,0.140221774194,18750
65,8.679703158,12.177649034,8.333640253,10.019657749,0.133533894739,0.187348446669,0.128209850054,0.154148580760,18461
66,8.874051259,12.170268933,8.513558110,10.039489605,0.134455322113,0.184398014129,0.128993304699,0.152113478865,18181
67,9.055378775,12.169709150,8.713129396,10.042582878,0.135154907092,0.181637449997,0.130046707403,0.149889296680,17910
68,9.776764473,12.180927017,9.416194470,10.042426646,0.143775948127,0.179131279665,0.138473448083,0.147682744787,17647
69,9.777138914,12.210759239,9.544937036,10.061745429,0.141697665427,0.176967525203,0.138332420817,0.145822397528,17391
70,9.808737751,12.172021692,9.481420988,10.066483933,0.140124825012,0.173886024175,0.135448871259,0.143806913329,17142
71,9.873898385,12.244662606,9.481450802,10.106825979,0.139068991342,0.172460036700,0.133541560588,0.142349661675,16901
72,9.624235153,10.266058898,9.140877182,10.117724709,0.133669932680,0.142584151356,0.126956627534,0.140523954292,16666
73,9.881987955,13.257391410,9.478012286,11.338422237,0.135369698020,0.181608101509,0.129835784745,0.155320852563,16438
74,10.083338470,13.405695266,9.746733235,11.315286428,0.136261330677,0.181158044139,0.131712611280,0.152909276052,16216
75,10.393365817,13.416385452,9.971508903,11.275875000,0.138578210895,0.178885139358,0.132953452046,0.150345000000,16000
76,11.042858952,13.251155722,10.608018241,11.293283535,0.145300775679,0.174357312126,0.139579187376,0.148595835985,15789
77,11.124863651,13.342976267,10.581965110,11.240636224,0.144478748714,0.173285406063,0.137428118316,0.145982288620,15584
78,11.038284043,13.290867728,16.642053949,16.382716049,0.141516462088,0.170395740106,0.213359666008,0.210034821146,15384
79,11.009343949,13.270711325,10.510467413,11.150803054,0.139358784170,0.167983687653,0.133043891301,0.141149405750,15189
80,10.825559701,11.364636097,10.418449643,11.166799947,0.135319496269,0.142057951213,0.130230620543,0.139584999334,15000
81,10.941418641,14.320666847,10.602726782,12.234710409,0.135079242478,0.176798356132,0.130897861504,0.151045807519,14814
82,11.067992347,14.406012983,10.805726391,12.279076124,0.134975516422,0.175683085153,0.131777151105,0.149744830782,14634
83,11.184263293,14.387844005,10.900926438,12.278000553,0.134750160151,0.173347518132,0.131336463109,0.147927717507,14457
84,11.959047952,14.393952121,11.552305647,12.274508432,0.142369618481,0.171356572869,0.137527448178,0.146125100380,14285
85,11.971464986,14.541734513,11.472100269,12.232932011,0.140840764543,0.171079229568,0.134965885519,0.143916847192,14117
86,11.974414104,14.546933219,11.536208008,12.291168254,0.139237373308,0.169150386264,0.134141953582,0.142920561098,13953
87,12.020292796,14.385434783,11.482781121,12.282008550,0.138164285012,0.165349825087,0.131985989895,0.141172512070,13793
88,11.756449721,12.543508540,11.322214076,12.272420620,0.133596019562,0.142539869778,0.128661523594,0.139459325231,13636
89,12.072673341,15.584396322,11.666543054,13.403663601,0.135648015065,0.175105576647,0.131084753418,0.150602961812,13483
90,12.202309538,15.771786411,11.839517278,13.407887831,0.135581217090,0.175242071230,0.131550191973,0.148976531454,13333
91,12.404063377,15.766623702,11.986660603,13.412799515,0.136308388753,0.173259601116,0.131721545091,0.147393401261,13186
92,13.258237548,15.578063923,12.659639709,13.410268199,0.144111277694,0.169326781769,0.137604779442,0.145763784774,13043
93,13.234345939,15.766036566,12.624399690,13.412120273,0.142304795046,0.169527274908,0.135746233228,0.144216347019,12903
94,13.251350716,15.571831427,12.606077218,13.395991545,0.140971816133,0.165657781141,0.134107204450,0.142510548347,12765
95,13.276339745,15.582324551,12.618403355,13.411685536,0.139750944685,0.164024468958,0.132825298470,0.141175637217,12631
96,12.553315735,13.701063915,12.064614154,13.480566219,0.130763705570,0.142719415780,0.125673064108,0.140422564779,12500
97,12.716917111,16.750565611,12.231210603,14.547239958,0.131102238258,0.172686243411,0.126094954669,0.149971545958,12371
98,12.879042796,16.735858297,12.429189454,14.550277506,0.131418804046,0.170774064258,0.126828463816,0.148472219446,12244
99,13.165951831,16.759050054,12.634781892,14.540402375,0.132989412435,0.169283333875,0.127624059512,0.146872751259,12121
100,13.960750000,16.763241173,13.354019159,14.538660223,0.139607500000,0.167632411726,0.133540191587,0.145386602233,12000
101,14.001682510,16.738680357,13.380131225,14.536726967,0.138630519904,0.165729508484,0.132476546780,0.143927989770,11881
102,13.971964999,16.946111347,13.384615385,14.539010709,0.136980049007,0.166138346541,0.131221719457,0.142539320675,11764
103,13.933413420,16.745794713,13.368542990,14.555460238,0.135275858449,0.162580531198,0.129791679510,0.141315147946,11650
104,13.587124166,14.761219893,13.151420651,14.722183709,0.130645424673,0.141934806659,0.126455967802,0.141559458739,11538
105,13.775697664,17.926415259,13.332546345,15.647773988,0.131197120612,0.170727764376,0.126976631856,0.149026418929,11428
106,14.065006183,18.061296591,13.696220417,15.799876412,0.132688737572,0.170389590478,0.129209626574,0.149055437853,11320
107,14.372169727,18.157993228,13.977446960,15.886442642,0.134319343245,0.169700871286,0.130630345423,0.148471426560,11214
108,15.495412844,18.157397408,14.851551957,15.891077532,0.143476044852,0.168124050076,0.137514369971,0.147139606777,11111
109,15.505540418,18.138253450,14.847620777,15.932243415,0.142252664384,0.166405994950,0.136216704379,0.146167370781,11009
110,15.573417606,18.375309321,14.925769795,15.972519923,0.141576523687,0.167048266553,0.135688816316,0.145204726573,10909
111,15.573303753,18.234054354,14.907284156,15.971143174,0.140300033811,0.164270759945,0.134299857262,0.143884172741,10810
112,15.169807800,16.166122259,14.652117142,15.871094114,0.135444712500,0.144340377308,0.130822474485,0.141706197450,10714
113,15.036252354,19.145762712,14.546695538,16.706646583,0.133064180124,0.169431528424,0.128731818916,0.147846429934,10619
114,15.120892688,19.207823032,14.584330484,16.731193009,0.132639409540,0.168489675723,0.127932723547,0.146764850957,10526
115,15.232088123,19.128281280,14.824200038,16.751389688,0.132452940197,0.166332880695,0.128906087290,0.145664258153,10434
116,16.302251425,24.899081682,23.787108620,23.493914219,0.140536650218,0.214647255879,0.205061281207,0.202533743271,10344
117,16.307789802,19.173815559,15.679754482,16.787016278,0.139382818821,0.163878765458,0.134014995570,0.143478771610,10256
118,16.399174528,19.166453643,15.820835381,16.788102262,0.138976055325,0.162427573243,0.134074876109,0.142272053064,10169
119,16.317334391,19.213917526,15.758572844,16.851154494,0.137120457068,0.161461491813,0.132424981886,0.141606340287,10084
120,16.159668066,17.053794621,15.462407518,16.998100380,0.134663900553,0.142114955171,0.128853395987,0.141650836499,10000
121,16.336054010,20.373337364,15.793405929,18.030229746,0.135008710830,0.168374688958,0.130524015939,0.149010163191,9917
122,16.429602521,20.533191014,16.103017373,18.034566897,0.134668873124,0.168304844373,0.131991945678,0.147824318829,9836
123,16.595860232,20.394346000,15.988119623,17.904956985,0.134925692940,0.165807691059,0.129984712383,0.145568755974,9756
124,17.540939597,20.168680921,16.706155753,17.954141706,0.141459190301,0.162650652592,0.134727062524,0.144791465373,9677
125,17.622631689,20.335484543,16.656080800,17.845641079,0.140981053508,0.162683876340,0.133248646397,0.142765128632,9600
126,17.603652776,20.290678144,16.712561654,17.971551543,0.139711529971,0.161037128127,0.132639378206,0.142631361454,9523
127,17.625635055,20.485608466,16.786484772,18.031216931,0.138784527992,0.161304003666,0.132177045445,0.141978086073,9448
128,16.727670006,18.047436307,16.082711575,17.864605544,0.130684921925,0.140995596152,0.125646184182,0.139567230810,9375
129,16.845220193,21.376423813,16.243472655,18.842393640,0.130583102274,0.165708711726,0.125918392674,0.146065066976,9302
130,17.000324746,21.395149940,16.404957783,18.888383674,0.130771728812,0.164578076465,0.126191982947,0.145295259033,9230
131,17.212150960,21.268928649,16.568777293,18.761780105,0.131390465342,0.162358233965,0.126479215974,0.143219695456,9160
132,17.947414741,21.291666667,17.280325525,18.762234686,0.135965263193,0.161300505051,0.130911557009,0.142138141561,9090
133,17.950570764,21.360443213,24.293563753,18.821495845,0.134966697471,0.160604836190,0.182658374084,0.141515006352,9022
134,18.033258929,21.361545333,17.317416044,18.808413301,0.134576559168,0.159414517408,0.129234448088,0.140361293288,8955
135,17.963121205,21.323737771,17.320814123,18.762290471,0.133060157076,0.157953613121,0.128302326841,0.138979929418,8888
136,17.665231188,19.028675054,23.549359628,30.295603898,0.129891405792,0.139916728337,0.173157056090,0.222761793365,8823
137,29.453362256,33.202625571,29.417227610,32.654680365,0.214988045664,0.242354931174,0.214724289123,0.238355331134,8759
138,18.199402024,22.569983912,17.808762649,20.015179393,0.131879724811,0.163550608056,0.129049004706,0.145037531832,8695
139,18.557291667,22.539191849,17.859921278,20.141303090,0.133505695444,0.162152459345,0.128488642288,0.144901461079,8633
140,19.562682216,22.649609512,18.683069030,20.130495627,0.139733444398,0.161782925083,0.133450493070,0.143789254477,8571
141,19.630787309,22.767081475,18.709957727,20.142890689,0.139225441908,0.161468662940,0.132694735650,0.142857380775,8510
142,19.659881657,22.782284768,18.752454169,20.259846245,0.138449870823,0.160438625128,0.132059536402,0.142674973555,8450
143,19.739845146,22.894605216,18.871532325,20.306584117,0.138040875146,0.160102134379,0.131968757519,0.142004084735,8391
144,19.243943392,20.500659393,18.714662827,20.300083923,0.133638495776,0.142365690232,0.129962936298,0.140972805019,8333
145,19.355952668,23.889667674,18.807464670,21.375362319,0.133489328748,0.164756328784,0.129706652894,0.147416291854,8275
146,19.542259516,23.900911854,18.912583587,21.394919169,0.133851092575,0.163704875713,0.129538243744,0.146540542251,8219
147,19.703463468,23.890085679,19.014441317,21.407765801,0.134037166451,0.162517589655,0.129349940931,0.145631059871,8163
148,20.526075700,23.891079349,19.749353050,21.370639714,0.138689700673,0.161426211820,0.133441574662,0.144396214284,8108
149,20.529550534,23.891620112,19.763193841,21.397244974,0.137782218348,0.160346443703,0.132638884838,0.143605670966,8053
150,20.536625000,23.886056972,19.762838935,21.400699913,0.136910833333,0.159240379810,0.131752259569,0.142671332750,8000
151,20.514785454,23.897661554,19.730590160,21.387749969,0.135859506315,0.158262659298,0.130666159999,0.141640728269,7947
152,20.393590068,21.601240978,19.582647245,21.406404253,0.134168355713,0.142113427484,0.128833205560,0.140831606925,7894
153,20.581155170,24.905314133,19.938543925,22.531489036,0.134517354054,0.162779830933,0.130317280552,0.147264634224,7843
154,20.737524054,24.933282012,28.716247433,22.650974859,0.134659247103,0.161904428648,0.186469139177,0.147084252331,7792
155,21.131895104,25.020002581,20.221835075,22.609661586,0.136334807123,0.161419371490,0.130463452100,0.145868784427,7741
156,22.069664674,25.067212689,20.930326271,22.599558097,0.141472209447,0.160687260824,0.134168758145,0.144868962162,7692
157,21.935947712,24.909459636,21.024310548,22.631372549,0.139719412181,0.158658978575,0.133912806036,0.144148869739,7643
158,22.049763033,24.714755825,20.775641870,22.417127072,0.139555462235,0.156422505219,0.131491404238,0.141880551087,7594
159,21.836777954,24.803524112,20.850669140,22.643585330,0.137338226128,0.155997006996,0.131136283900,0.142412486354,7547
160,21.074503532,22.612280234,20.409600000,22.340794031,0.131715647075,0.141326751465,0.127560000000,0.139629962697,7500
161,21.271009248,25.514688129,20.316382665,23.359651475,0.132118069864,0.158476323781,0.126188712203,0.145091002947,7453
162,21.376416622,25.722784298,20.692577598,23.511740891,0.131953189023,0.158782619123,0.127731960480,0.145134203029,7407
163,21.754819441,25.717329353,20.874830301,23.518543676,0.133465149943,0.157775026704,0.128066443567,0.144285544025,7361
164,22.494056565,25.842234667,21.708526920,23.527049180,0.137158881495,0.157574601630,0.132369066585,0.143457616953,7317
165,22.606318681,25.860225399,21.700481100,23.613586359,0.137007992008,0.156728638779,0.131518067271,0.143112644598,7272
166,22.587341072,25.868861530,21.674820343,23.599087263,0.136068319713,0.155836515241,0.130571206884,0.142163176284,7228
167,22.590118302,25.892782645,21.764427757,23.597579636,0.135270169473,0.155046602665,0.130325914712,0.141302872069,7185
168,22.213795998,23.860839161,21.480414102,23.628391608,0.132224976180,0.142028804529,0.127859607749,0.140645188145,7142
169,22.548232643,26.963103788,21.844507042,24.699985921,0.133421494931,0.159544992830,0.129257438120,0.146153762849,7100
170,22.691197283,26.830549264,21.937154989,24.686066270,0.133477631075,0.157826760376,0.129042088173,0.145212154530,7058
171,23.082371384,26.713370355,22.009824861,24.389608541,0.134984627975,0.156218540085,0.128712426089,0.142629289713,7017
