n,pos_simd_ns,neg_scalar_ns,pos_simd_ns_per_limb,neg_scalar_ns_per_limb,neg_over_pos
8,2.812174,3.225665,0.351521724,0.403208087,1.147036
16,3.789705,5.802105,0.236856532,0.362631538,1.531018
24,4.534964,8.568280,0.188956837,0.357011687,1.889382
32,5.379967,11.970079,0.168123982,0.374064954,2.224935
40,6.463597,15.131753,0.161589915,0.378293834,2.341073
48,7.315348,18.448089,0.152403083,0.384335184,2.521833
56,8.184480,21.524636,0.146151429,0.384368492,2.629933
64,9.372976,24.845257,0.146452744,0.388207141,2.650733
72,10.101390,28.031783,0.140297082,0.389330313,2.775042
80,10.860260,31.336606,0.135753251,0.391707574,2.885438
88,11.942962,34.497701,0.135715475,0.392019324,2.888538
96,12.829912,37.305738,0.133644921,0.388601436,2.907716
104,13.662617,40.841572,0.131371313,0.392707426,2.989294
112,14.621082,44.298432,0.130545371,0.395521717,3.029764
120,15.735844,47.698738,0.131132030,0.397489483,3.031216
128,16.897313,50.743253,0.132010255,0.396431663,3.003037
136,18.006602,53.863656,0.132401483,0.396056294,2.991328
144,18.913796,57.220905,0.131345807,0.397367392,3.025353
152,21.966319,60.204629,0.144515257,0.396083088,2.740770
160,22.904036,63.505480,0.143150227,0.396909249,2.772676
168,23.799833,66.641858,0.141665675,0.396677724,2.800098
176,24.571475,69.906669,0.139610655,0.397196984,2.845033
184,25.251919,73.055442,0.137238690,0.397040446,2.893065
192,26.062500,74.627138,0.135742188,0.388683011,2.863391
200,26.617957,77.233139,0.133089785,0.386165697,2.901543
208,27.619680,80.649506,0.132786922,0.387738008,2.920001
216,28.608450,83.814567,0.132446529,0.388030401,2.929714
224,29.723881,87.264622,0.132695896,0.389574206,2.935842
232,30.541154,89.983895,0.131642907,0.387861617,2.946316
240,31.231710,93.119786,0.130132125,0.387999110,2.981578
248,32.420503,96.429599,0.130727833,0.388829029,2.974340
256,33.484844,99.588376,0.130800171,0.389017093,2.974133
264,34.294452,102.622162,0.129903227,0.388720311,2.992384
272,34.878546,106.003637,0.128229948,0.389719254,3.039222
280,35.852211,108.985990,0.128043610,0.389235679,3.039868
288,36.983999,112.273923,0.128416663,0.389840012,3.035743
296,38.110925,115.340637,0.128753124,0.389664313,3.026445
304,38.763720,118.665534,0.127512235,0.390347152,3.061253
312,39.703535,121.361659,0.127254920,0.388979677,3.056697
320,40.532885,124.846538,0.126665265,0.390145431,3.080130
328,41.507899,127.905568,0.126548472,0.389956000,3.081475
336,42.705231,131.197640,0.127098902,0.390469166,3.072168
344,43.550032,134.078661,0.126598930,0.389763549,3.078727
352,44.615441,137.423225,0.126748411,0.390406888,3.080172
360,45.739817,140.568403,0.127055047,0.390467787,3.073217
368,46.313920,143.728082,0.125853043,0.390565440,3.103345
376,46.957968,147.004457,0.124888213,0.390969301,3.130554
384,48.201189,149.976637,0.125523930,0.390564160,3.111472
392,49.249491,153.073104,0.125636457,0.390492611,3.108115
400,50.277681,156.632513,0.125694202,0.391581281,3.115349
408,50.859917,159.864885,0.124656660,0.391825699,3.143239
416,51.987632,165.449846,0.124970268,0.397715975,3.182485
424,52.944523,165.828291,0.124869158,0.391104459,3.132114
432,53.757382,169.094144,0.124438385,0.391421630,3.145506
440,54.579853,172.052351,0.124045121,0.391028070,3.152305
448,55.841703,175.311449,0.124646658,0.391320198,3.139436
456,56.913532,178.356820,0.124810376,0.391133378,3.133821
464,57.731142,181.594717,0.124420565,0.391367925,3.145524
472,58.632778,184.679011,0.124221988,0.391269091,3.149757
480,59.208136,191.509056,0.123350283,0.398977200,3.234506
488,60.889042,191.173753,0.124772627,0.391749493,3.139707
496,61.624343,194.119565,0.124242627,0.391370091,3.150047
504,62.372465,197.415329,0.123754891,0.391697081,3.165104
512,63.321700,200.830567,0.123675195,0.392247202,3.171592
520,64.060408,205.878769,0.123193093,0.395920710,3.213822
528,65.303404,206.830396,0.123680689,0.391724236,3.167222
536,66.129738,209.974972,0.123376377,0.391744351,3.175197
544,67.056201,213.113778,0.123265075,0.391753269,3.178137
552,68.225273,216.453917,0.123596509,0.392126661,3.172635
560,68.781891,219.470064,0.122824806,0.391910829,3.190812
568,69.963433,222.833507,0.123175058,0.392312512,3.185000
576,70.806651,225.743840,0.122928213,0.391916389,3.188173
584,71.845618,229.746485,0.123023318,0.393401516,3.197780
592,72.770146,232.043364,0.122922545,0.391965142,3.188716
600,73.675422,235.206924,0.122792370,0.392011539,3.192475
608,74.533784,238.645197,0.122588460,0.392508548,3.201839
616,75.688610,241.853415,0.122871120,0.392619180,3.195374
624,76.034874,244.812582,0.121850760,0.392327855,3.219741
632,78.759236,248.984748,0.124619044,0.393963209,3.161340
640,78.603887,251.522453,0.122818574,0.393003833,3.199873
648,79.207717,254.344766,0.122234132,0.392507355,3.211111
656,80.130689,257.948317,0.122150441,0.393213898,3.219095
664,80.993415,261.067014,0.121978035,0.393173214,3.223312
672,82.332693,263.837956,0.122518889,0.392616007,3.204535
680,83.503534,269.591685,0.122799315,0.396458360,3.228506
688,83.866055,270.374910,0.121898336,0.392986788,3.223890
696,84.936651,273.260538,0.122035418,0.392615715,3.217228
704,86.270210,276.823562,0.122542913,0.393215287,3.208797
712,87.171585,280.613060,0.122432001,0.394119466,3.219089
720,88.273518,283.151544,0.122602109,0.393266033,3.207661
728,89.809986,289.680941,0.123365365,0.397913381,3.225487
736,90.625362,295.473860,0.123132286,0.401459049,3.260388
744,91.593079,293.461230,0.123108977,0.394437138,3.203967
752,92.779179,297.331092,0.123376568,0.395387090,3.204718
760,94.343624,300.132987,0.124136348,0.394911825,3.181275
768,96.248462,303.253226,0.125323518,0.394860971,3.150733
776,97.404011,306.722120,0.125520633,0.395260464,3.148968
784,96.993020,312.871042,0.123715586,0.399070206,3.225707
792,97.678776,313.397083,0.123331788,0.395703388,3.208446
800,98.760921,315.722117,0.123451151,0.394652646,3.196832
808,99.912207,319.463435,0.123653722,0.395375539,3.197441
816,100.679386,322.785868,0.123381600,0.395570916,3.206077
824,101.909749,329.373026,0.123676879,0.399724546,3.232007
832,102.463217,332.361087,0.123152905,0.399472460,3.243711
840,103.693785,334.987946,0.123444982,0.398795174,3.230550
848,104.678885,335.578348,0.123442082,0.395729184,3.205788
856,105.625106,340.519928,0.123393815,0.397803654,3.223854
864,107.068065,343.105839,0.123921372,0.397113240,3.204558
872,107.920095,347.933102,0.123761577,0.399005851,3.223988
880,108.745727,352.560150,0.123574690,0.400636535,3.242060
888,109.567830,354.431840,0.123387196,0.399134955,3.234817
896,110.464959,354.868160,0.123286784,0.396058215,3.212495
904,111.158620,358.658397,0.122963075,0.396746014,3.226546
912,112.563100,361.468990,0.123424452,0.396347577,3.211257
920,113.432663,368.241667,0.123296373,0.400262681,3.246346
928,114.667711,368.715931,0.123564344,0.397323202,3.215517
936,115.174370,373.879731,0.123049541,0.399444157,3.246206
944,115.499769,377.781250,0.122351451,0.400192002,3.270840
952,116.753308,379.414315,0.122640029,0.398544448,3.249709
960,118.560446,381.198298,0.123500464,0.397081560,3.215223
968,119.689573,387.744318,0.123646253,0.400562312,3.239583
976,119.969309,389.005705,0.122919374,0.398571419,3.242544
984,121.290912,392.823353,0.123263122,0.399210724,3.238687
992,121.924659,396.027426,0.122907922,0.399221196,3.248132
1000,123.145997,396.575949,0.123145997,0.396575949,3.220372
1008,123.901172,400.312766,0.122917830,0.397135681,3.230904
1016,125.228722,404.718750,0.123256616,0.398345226,3.231836
1024,126.542341,409.023370,0.123576505,0.399436884,3.232304
1032,126.125378,411.900082,0.122214514,0.399127987,3.265799
1040,127.102049,414.251377,0.122213509,0.398318631,3.259203
1048,127.943895,416.096792,0.122083869,0.397038924,3.252182
1056,129.344526,421.300729,0.122485346,0.398959023,3.257198
1064,130.002251,422.306025,0.122182566,0.396904159,3.248452
1072,131.326681,425.322681,0.122506232,0.396756232,3.238662
1080,132.411495,429.702055,0.122603236,0.397872273,3.245202
1088,133.729612,435.539931,0.122913246,0.400312436,3.256870
1096,135.200468,440.055783,0.123358092,0.401510751,3.254839
1104,135.671198,441.141725,0.122890578,0.399584896,3.251550
1112,136.541667,444.326570,0.122789269,0.399574254,3.254146
1120,137.550953,447.513690,0.122813351,0.399565795,3.253439
1128,137.794236,450.776316,0.122158011,0.399624393,3.271373
1136,138.896852,454.656099,0.122268356,0.400225439,3.273336
1144,140.695840,457.218143,0.122985874,0.399666209,3.249692
1152,141.228445,460.295956,0.122594136,0.399562462,3.259230
1160,142.395770,463.734914,0.122754974,0.399771477,3.256662
1168,142.836425,467.050995,0.122291460,0.399872427,3.269831
1176,143.747224,470.126875,0.122234034,0.399767751,3.270511
1184,144.922865,474.010732,0.122401069,0.400346902,3.270779
1192,145.606658,477.124365,0.122153236,0.400272119,3.276803
1200,146.272036,479.970026,0.121893363,0.399975021,3.281352
1208,147.962441,482.418590,0.122485464,0.399353137,3.260412
1216,148.666898,484.829575,0.122258962,0.398708532,3.261180
1224,149.704545,488.843099,0.122307635,0.399381617,3.265386
1232,150.679274,493.840789,0.122304605,0.400844797,3.277430
1240,151.697900,523.251381,0.122337016,0.421976920,3.449299
1248,152.974765,497.961640,0.122575934,0.399007725,3.255188
1256,153.068515,505.388441,0.121869837,0.402379332,3.301714
1264,153.809529,505.569892,0.121684754,0.399976181,3.286987
1272,155.125671,507.703041,0.121954144,0.399137610,3.272850
1280,155.846761,510.890285,0.121755282,0.399133035,3.278158
1288,157.672899,514.228484,0.122416847,0.399245717,3.261363
1296,157.594118,518.726174,0.121600399,0.400251677,3.291533
1304,158.806155,520.340470,0.121783861,0.399034102,3.276576
1312,159.837734,523.512500,0.121827541,0.399018674,3.275275
1320,160.832011,526.472067,0.121842433,0.398842475,3.273428
1328,161.478163,530.349929,0.121595002,0.399359887,3.284345
1336,162.065091,534.080611,0.121306206,0.399760936,3.295470
1344,163.121359,535.632457,0.121370059,0.398536055,3.283644
1352,164.679934,539.799210,0.121804685,0.399259771,3.277869
1360,165.123955,542.298049,0.121414673,0.398748566,3.284188
1368,166.072013,545.587209,0.121397671,0.398821059,3.285245
1376,167.206049,549.432018,0.121516024,0.399296524,3.285958
1384,167.443192,552.110662,0.120984965,0.398923889,3.297301
1392,169.396548,557.707470,0.121692922,0.400651918,3.292319
1400,169.938972,558.534598,0.121384980,0.398953284,3.286678
1408,170.806125,561.237351,0.121311168,0.398606073,3.285815
1416,171.616888,564.534431,0.121198367,0.398682508,3.289504
1424,173.074435,569.278788,0.121541036,0.399774430,3.289214
1432,173.364834,571.159470,0.121064828,0.398854378,3.294552
1440,174.821462,573.565549,0.121403793,0.398309409,3.280865
1448,175.154035,576.815951,0.120962731,0.398353557,3.293192
1456,176.607933,580.660108,0.121296657,0.398805019,3.287848
1464,177.298145,583.536879,0.121105290,0.398590764,3.291275
1472,179.426565,586.986719,0.121893047,0.398768151,3.271459
1480,180.084753,590.271816,0.121678887,0.398832308,3.277745
1488,181.006455,592.930818,0.121644123,0.398475012,3.275744
1496,181.058277,595.860759,0.121028260,0.398302647,3.290989
1504,182.259223,599.389331,0.121182994,0.398530140,3.288664
1512,183.735445,602.786859,0.121518152,0.398668558,3.280733
1520,184.298993,605.603226,0.121249338,0.398423175,3.285982
1528,184.413188,609.971997,0.120689259,0.399196333,3.307638
1536,185.722896,612.532873,0.120913344,0.398784423,3.298101
1544,187.347929,614.832925,0.121339332,0.398207853,3.281771
1552,187.641375,618.082237,0.120902948,0.398248864,3.293955
1560,188.455823,621.637417,0.120805015,0.398485524,3.298584
1568,189.900810,625.062917,0.121110210,0.398637064,3.291523
1576,190.769944,627.792083,0.121046919,0.398345231,3.290833
1584,192.151127,632.787542,0.121307530,0.399487085,3.293176
1592,192.768352,635.017314,0.121085648,0.398880222,3.294199
1600,193.643235,637.938563,0.121027022,0.398711602,3.294402
1608,194.557962,641.443878,0.120993757,0.398907884,3.296929
1616,195.391406,644.313356,0.120910524,0.398708760,3.297552
1624,196.069415,647.603879,0.120732399,0.398770862,3.302932
1632,197.280200,649.957328,0.120882475,0.398258166,3.294590
1640,197.623224,655.169488,0.120501966,0.399493590,3.315245
1648,199.599202,657.052448,0.121116021,0.398696874,3.291859
1656,200.387487,660.057255,0.121006936,0.398585299,3.293905
1664,201.289029,664.562500,0.120966965,0.399376502,3.301534
1672,202.513701,667.857270,0.121120635,0.399436166,3.297837
1680,203.165111,670.112277,0.120931614,0.398876355,3.298363
1688,203.735900,672.743750,0.120696623,0.398544876,3.302038
1696,205.019924,679.454937,0.120884389,0.400622015,3.314092
1704,205.812911,678.747977,0.120782225,0.398326277,3.297888
1712,207.311189,684.505474,0.121092984,0.399827964,3.301826
1720,208.144540,686.526460,0.121014267,0.399143291,3.298316
1728,209.560686,691.335478,0.121273545,0.400078402,3.298975
1736,209.661203,692.089154,0.120772582,0.398668868,3.300988
1744,210.977669,694.741204,0.120973434,0.398360782,3.292961
1752,212.016225,698.037500,0.121013827,0.398423231,3.292378
1760,212.546097,700.972948,0.120764828,0.398280084,3.297981
1768,213.701737,706.048402,0.120872023,0.399348644,3.303896
1776,214.836384,707.754229,0.120966433,0.398510264,3.294387
1784,215.313360,710.391098,0.120691345,0.398201288,3.299336
1792,216.569861,714.500710,0.120853717,0.398716914,3.299170
1800,217.826494,716.562977,0.121014719,0.398090543,3.289604
1808,218.377326,720.522662,0.120783919,0.398519172,3.299439
1816,218.972319,724.940385,0.120579471,0.399196247,3.310649
1824,220.256162,725.307933,0.120754475,0.397646893,3.293020
1832,220.960515,728.985465,0.120611635,0.397917830,3.299166
1840,222.334345,733.623535,0.120833883,0.398708443,3.299641
1848,222.311315,737.393066,0.120298331,0.399022222,3.316939
1856,223.425000,741.065945,0.120379849,0.399281220,3.316844
1864,225.165767,742.817913,0.120797086,0.398507464,3.298982
1872,225.453951,746.339782,0.120434803,0.398685781,3.310387
1880,226.506793,749.281250,0.120482337,0.398553856,3.307986
1888,226.988376,751.488000,0.120226894,0.398033898,3.310689
1896,228.178246,756.555444,0.120347176,0.399027133,3.315634
1904,229.162500,758.518649,0.120358456,0.398381643,3.309960
1912,230.185509,762.034274,0.120389910,0.398553491,3.310522
1920,231.165486,764.126524,0.120398691,0.397982565,3.305539
1928,232.341662,766.504573,0.120509161,0.397564613,3.299041
1936,233.934928,770.743340,0.120834157,0.398111229,3.294691
1944,234.074345,773.476434,0.120408614,0.397878824,3.304405
1952,235.615735,776.909349,0.120704782,0.398006839,3.297358
1960,235.819881,780.591684,0.120316266,0.398261063,3.310118
1968,237.303662,783.529167,0.120581129,0.398134739,3.301800
1976,237.759652,786.156771,0.120323710,0.397852617,3.306519
1984,239.079358,790.076681,0.120503708,0.398224133,3.304663
1992,239.727519,794.338498,0.120345140,0.398764306,3.313506
2000,240.513061,797.047669,0.120256530,0.398523835,3.313948
2008,241.589171,800.519597,0.120313332,0.398665138,3.313557
2016,242.584948,802.981303,0.120329835,0.398304218,3.310104
2024,243.843506,808.306034,0.120476041,0.399360689,3.314856
2032,244.304362,810.008621,0.120228525,0.398626290,3.315572
2040,245.526260,812.009968,0.120356010,0.398044102,3.307222
2048,246.107448,815.709783,0.120169652,0.398295792,3.314446
2056,246.882648,819.546739,0.120079109,0.398612227,3.319580
2064,248.284722,821.489402,0.120292986,0.398008431,3.308659
2072,249.104194,825.620066,0.120224032,0.398465283,3.314356
