n,u16,wide,centered
8,12.414,12.833,17.034
9,18.181,19.229,25.323
10,16.800,18.020,23.167
11,16.391,17.183,22.235
12,15.191,15.977,20.713
13,13.787,14.570,19.433
14,13.025,13.735,18.316
15,12.512,13.458,17.929
16,11.801,12.374,18.298
17,15.971,16.684,23.277
18,14.887,15.949,21.901
19,14.308,15.100,21.527
20,13.554,14.288,20.553
21,16.598,17.852,22.675
22,15.718,17.444,21.727
23,15.131,16.915,21.401
24,14.522,16.412,20.564
25,13.691,14.969,20.490
26,13.514,14.499,19.365
27,13.137,14.108,19.414
28,12.533,13.628,18.564
29,12.442,13.275,18.563
31,11.859,12.621,18.009
32,11.322,12.222,17.296
33,17.060,17.916,22.806
35,16.444,17.065,21.885
36,16.121,16.572,21.425
38,15.389,16.013,20.663
40,14.509,15.415,20.094
41,16.691,17.187,22.432
43,15.661,16.066,21.247
45,14.802,15.585,20.658
47,14.361,15.093,20.168
49,15.393,15.970,20.511
52,14.112,15.008,19.608
54,13.981,14.521,19.185
56,13.502,14.497,19.301
59,13.284,13.996,18.982
61,12.717,13.587,18.639
64,12.833,12.740,17.888
67,16.700,17.436,22.048
70,16.022,16.867,21.542
73,15.626,16.358,21.160
76,14.922,15.743,20.518
79,14.478,15.522,19.921
83,15.904,17.126,21.499
87,15.330,16.499,20.868
91,14.512,15.529,19.937
95,14.083,15.152,19.461
99,15.204,16.134,20.395
103,14.781,15.626,19.938
108,14.034,15.013,19.237
112,13.662,14.593,18.896
117,13.310,14.017,18.679
123,13.025,13.791,18.379
128,12.569,13.374,17.900
134,16.687,17.684,22.108
140,16.070,16.977,21.474
146,15.542,16.487,20.888
152,15.055,15.947,20.385
159,14.595,15.423,19.898
166,17.015,17.709,22.120
173,16.467,17.307,21.650
181,15.906,16.570,21.017
189,15.357,16.014,20.516
197,16.999,17.937,22.049
206,16.315,17.199,21.431
215,15.825,16.630,20.903
225,15.266,16.016,20.367
235,14.744,15.475,19.855
245,14.279,14.952,19.358
256,13.780,14.500,19.013
267,17.860,18.527,23.039
279,17.140,17.848,22.348
292,16.562,17.223,21.757
304,16.066,16.703,21.236
318,15.429,16.127,20.620
332,17.572,18.266,23.182
347,16.968,17.566,22.514
362,16.142,16.738,21.570
378,15.504,16.217,21.020
395,17.055,18.039,22.085
412,16.483,17.399,21.520
431,15.916,16.779,20.899
450,15.363,16.165,20.339
470,14.824,15.614,19.817
490,14.346,15.090,19.352
512,13.902,14.567,18.892
535,17.969,18.710,23.031
558,17.363,18.080,22.426
583,16.789,17.489,21.881
609,16.200,16.893,21.267
636,15.646,16.332,20.686
664,18.584,19.233,23.537
693,17.910,18.594,22.887
724,17.265,17.961,22.222
756,16.676,17.322,21.647
790,18.752,19.662,23.681
825,18.120,18.949,23.098
861,17.478,18.283,22.421
899,16.857,17.630,21.821
939,16.271,16.998,21.237
981,15.703,16.393,20.662
1024,15.186,15.837,20.128
1069,19.317,19.946,24.263
1117,18.612,19.260,23.557
1166,17.957,18.602,22.904
1218,17.315,17.962,22.291
1272,16.735,17.363,21.660
1328,19.013,19.700,24.016
1387,18.354,19.029,23.334
1448,17.715,18.389,22.710
1512,17.092,17.795,22.084
1579,19.177,20.108,24.102
1649,18.510,19.381,23.397
1722,17.855,18.681,22.755
1798,17.228,18.028,22.152
1878,16.628,17.378,21.566
1961,16.085,16.766,21.011
2048,15.531,16.184,20.455
2139,19.784,20.434,24.787
2233,19.080,19.746,24.124
2332,18.390,19.038,23.426
2435,17.750,18.406,22.820
2543,17.148,17.806,22.222
2656,20.404,21.098,25.294
2774,19.654,20.362,24.556
2896,18.987,19.658,23.901
3025,18.297,18.998,23.214
3158,20.249,20.834,25.008
3298,19.480,20.069,24.268
3444,18.767,19.353,23.717
3597,18.871,19.764,23.742
3756,18.189,18.928,23.060
3922,17.691,18.268,22.430
4096,16.918,17.723,21.855
4277,21.488,22.048,26.319
4467,20.691,21.309,25.558
4664,19.866,20.584,24.839
4871,19.111,19.901,24.135
5087,18.450,19.228,23.469
5312,21.030,21.824,26.199
5547,20.424,20.960,25.352
5793,19.618,20.253,24.659
6049,18.966,19.626,24.009
6317,21.998,22.607,26.936
6597,21.225,21.827,26.484
6889,20.659,21.124,25.934
7194,20.276,21.071,25.160
7512,19.690,20.332,24.410
7845,18.763,19.590,23.734
8192,18.118,18.809,23.034
8555,22.709,23.392,28.115
8933,21.812,22.486,27.339
9329,21.111,21.766,26.509
9742,20.322,20.982,25.630
10173,19.579,19.659,24.188
10624,22.874,23.492,27.870
11094,21.927,22.643,26.996
11585,21.180,21.838,26.225
12098,20.448,21.064,25.450
12634,22.504,23.034,27.288
13193,21.636,22.164,26.455
13777,20.815,21.311,25.712
14387,22.121,22.947,27.174
15024,21.370,22.120,26.330
15689,20.578,21.305,25.573
16384,19.912,20.473,24.873
17109,,24.585,28.919
17867,,23.653,27.996
18658,,22.763,27.194
19484,,22.002,26.346
20347,,21.213,25.560
21247,,24.134,28.541
22188,,23.300,27.684
23170,,22.431,26.853
24196,,21.658,26.092
25268,,24.709,29.030
26386,,23.791,28.228
27554,,23.241,27.935
28774,,23.775,31.087
30048,,23.693,27.839
31379,,22.743,26.977
32768,,21.910,26.134
34219,,,29.627
35734,,,28.826
37316,,,27.889
38968,,,27.059
40693,,,26.288
42495,,,31.379
44376,,,30.513
46341,,,29.535
48393,,,28.579
50535,,,29.606
52773,,,28.706
55109,,,27.817
57549,,,28.320
60097,,,27.516
62757,,,26.805
65536,,,25.911
68438,,,32.432
71468,,,31.388
74632,,,30.751
77936,,,29.600
81386,,,28.558
84990,,,32.512
88752,,,31.384
92682,,,30.372
96785,,,29.482
101070,,,32.834
105545,,,32.786
110218,,,30.821
115098,,,33.093
120194,,,31.718
125515,,,30.501
131072,,,29.735
