an52,bn52,total_ns,ns_per_limb
8,1,1.875013,0.234376641
16,1,2.042251,0.127640714
24,1,2.499568,0.104148650
32,1,2.763089,0.086346516
40,1,3.296503,0.082412563
48,1,3.329428,0.069363090
56,1,3.721519,0.066455688
64,1,4.239636,0.066244306
72,1,4.402851,0.061150710
80,1,4.652826,0.058160323
88,1,4.879035,0.055443579
96,1,5.066660,0.052777704
104,1,5.399458,0.051917865
112,1,5.721674,0.051086372
120,1,5.948605,0.049571705
128,1,5.750328,0.044924435
136,1,10.056678,0.073946164
144,1,6.722259,0.046682353
152,1,7.260504,0.047766472
160,1,7.360288,0.046001798
168,1,7.930863,0.047207518
176,1,8.204967,0.046619130
184,1,8.398014,0.045641378
192,1,8.215752,0.042790372
200,1,8.985381,0.044926907
208,1,9.194313,0.044203426
216,1,9.370101,0.043380096
224,1,9.549792,0.042632999
232,1,10.061645,0.043369159
240,1,10.415768,0.043399032
248,1,10.699964,0.043145015
256,1,10.782350,0.042118553
264,1,11.193891,0.042401102
272,1,11.285390,0.041490406
280,1,11.829071,0.042246683
288,1,11.895179,0.041302706
296,1,12.271263,0.041456969
304,1,12.687272,0.041734446
312,1,12.953365,0.041517194
320,1,13.247629,0.041398840
328,1,13.559870,0.041341067
336,1,14.052762,0.041823698
344,1,14.224610,0.041350611
352,1,14.359885,0.040795127
360,1,14.893655,0.041371263
368,1,15.303731,0.041586226
376,1,15.533471,0.041312423
384,1,15.517115,0.040409153
392,1,15.960435,0.040715395
400,1,16.203457,0.040508643
8,2,1.835514,0.114719652
16,2,2.637056,0.082407998
24,2,3.325295,0.069276985
32,2,3.619690,0.056557661
40,2,4.273370,0.053417127
48,2,4.525485,0.047140470
56,2,5.405672,0.048264925
64,2,5.532539,0.043222961
72,2,6.514925,0.045242533
80,2,6.889306,0.043058162
88,2,7.483514,0.042519968
96,2,7.713143,0.040172621
104,2,8.557785,0.041143198
112,2,8.998587,0.040172265
120,2,9.701825,0.040424272
128,2,10.100131,0.039453638
136,2,10.792969,0.039680032
144,2,11.179442,0.038817506
152,2,11.915221,0.039194806
160,2,12.219581,0.038186190
168,2,13.115519,0.039034282
176,2,13.452385,0.038217004
184,2,14.141360,0.038427609
192,2,14.540494,0.037865870
200,2,15.209641,0.038024103
208,2,15.549705,0.037379098
216,2,16.259528,0.037637796
224,2,16.638122,0.037138665
232,2,17.349421,0.037390993
240,2,17.735323,0.036948590
248,2,18.436339,0.037170039
256,2,19.109241,0.037322737
264,2,19.814777,0.037527988
272,2,20.167883,0.037073314
280,2,20.919449,0.037356158
288,2,21.218114,0.036837003
296,2,21.862041,0.036929123
304,2,22.282074,0.036648148
312,2,22.973159,0.036815959
320,2,23.474967,0.036679636
328,2,24.218798,0.036918900
336,2,24.513897,0.036479013
344,2,25.413034,0.036937549
352,2,25.794580,0.036640029
360,2,26.516831,0.036828932
368,2,26.695026,0.036270415
376,2,27.395021,0.036429549
384,2,27.801028,0.036199255
392,2,28.806653,0.036743180
400,2,29.219831,0.036524788
8,3,2.579381,0.107474212
16,3,3.276048,0.068250993
24,3,4.353261,0.060461962
32,3,4.126399,0.042983320
40,3,5.050688,0.042089065
48,3,5.865002,0.040729178
56,3,6.726161,0.040036671
64,3,7.181949,0.037405986
72,3,8.337198,0.038598140
80,3,9.068266,0.037784441
88,3,9.775727,0.037029270
96,3,10.223217,0.035497282
104,3,10.978958,0.035188968
112,3,11.811307,0.035152700
120,3,12.670197,0.035194991
128,3,13.322504,0.034694020
136,3,14.428339,0.035363575
144,3,14.964487,0.034640015
152,3,15.788763,0.034624479
160,3,16.504207,0.034383765
168,3,17.172682,0.034072782
176,3,18.037850,0.034162594
184,3,19.261726,0.034894431
192,3,19.426002,0.033725698
200,3,20.507648,0.034179414
208,3,21.131613,0.033864765
216,3,21.851786,0.033721892
224,3,22.498560,0.033480000
232,3,23.377104,0.033587793
240,3,24.141819,0.033530305
248,3,24.945805,0.033529308
256,3,25.586308,0.033315506
264,3,27.011020,0.034104823
272,3,27.558339,0.033772474
280,3,28.250254,0.033631255
288,3,28.851390,0.033392812
296,3,29.577726,0.033308250
304,3,30.391976,0.033324536
312,3,31.191274,0.033324010
320,3,31.979071,0.033311532
328,3,33.009405,0.033546143
336,3,33.501708,0.033235822
344,3,34.356319,0.033291006
352,3,34.999545,0.033143509
360,3,35.807208,0.033154822
368,3,36.496025,0.033057994
376,3,37.333942,0.033097467
384,3,38.029045,0.033011324
392,3,39.142170,0.033284158
400,3,39.755241,0.033129368
8,4,2.861885,0.089433898
16,4,3.746355,0.058536798
24,4,4.987115,0.051949115
32,4,5.214100,0.040735152
40,4,6.325687,0.039535543
48,4,7.477318,0.038944362
56,4,8.543577,0.038140971
64,4,9.358402,0.036556258
72,4,10.533230,0.036573716
80,4,11.563725,0.036136642
88,4,12.594392,0.035779523
96,4,13.515821,0.035197450
104,4,14.691421,0.035315916
112,4,15.735571,0.035124042
120,4,16.881868,0.035170557
128,4,17.738490,0.034645488
136,4,18.874868,0.034696448
144,4,19.948867,0.034633450
152,4,20.944344,0.034447935
160,4,21.892004,0.034206256
168,4,22.990947,0.034212718
176,4,24.114270,0.034253224
184,4,25.220161,0.034266523
192,4,26.087672,0.033968323
200,4,27.218152,0.034022690
208,4,28.245737,0.033949204
216,4,29.365493,0.033987839
224,4,30.368811,0.033893762
232,4,31.379800,0.033814440
240,4,32.386561,0.033736001
248,4,33.470189,0.033740110
256,4,34.378678,0.033572928
264,4,35.628452,0.033739065
272,4,36.586879,0.033627646
280,4,37.720032,0.033678600
288,4,38.777761,0.033661250
296,4,39.724309,0.033550937
304,4,40.771146,0.033528903
312,4,41.891170,0.033566642
320,4,42.793134,0.033432136
328,4,44.089695,0.033604950
336,4,45.142361,0.033588066
344,4,46.196316,0.033572904
352,4,47.206241,0.033527159
360,4,48.171995,0.033452775
368,4,50.567152,0.034352685
376,4,52.215463,0.034717728
384,4,53.293601,0.034696355
392,4,54.562445,0.034797478
400,4,55.569272,0.034730795
8,5,3.203868,0.080096707
16,5,4.251450,0.053143120
24,5,6.246103,0.052050859
32,5,6.518294,0.040739336
40,5,7.966376,0.039831881
48,5,9.376847,0.039070196
56,5,10.689723,0.038177582
64,5,11.836508,0.036989089
72,5,13.358267,0.037106296
80,5,15.003706,0.037509264
88,5,16.874274,0.038350624
96,5,17.176442,0.035784255
104,5,18.655579,0.035876113
112,5,20.049050,0.035801875
120,5,21.346205,0.035577008
128,5,22.503060,0.035161031
136,5,24.350832,0.035810048
144,5,25.318244,0.035164228
152,5,26.611356,0.035014943
160,5,27.818505,0.034773132
168,5,29.197800,0.034759286
176,5,30.633172,0.034810423
184,5,32.008572,0.034791926
192,5,33.193571,0.034576636
200,5,34.579853,0.034579853
208,5,35.882140,0.034502057
216,5,37.273801,0.034512778
224,5,38.491264,0.034367200
232,5,39.811982,0.034320675
240,5,41.230912,0.034359093
248,5,42.579062,0.034337953
256,5,43.810224,0.034226738
264,5,45.429097,0.034415983
272,5,46.792992,0.034406612
280,5,48.718701,0.034799072
288,5,49.081485,0.034084365
296,5,50.496113,0.034118995
304,5,52.055220,0.034246856
312,5,53.322349,0.034180993
320,5,54.477679,0.034048549
328,5,56.149405,0.034237442
336,5,57.382798,0.034156427
344,5,59.304198,0.034479185
352,5,59.803776,0.033979418
360,5,61.278002,0.034043335
368,5,62.461078,0.033946238
376,5,64.237487,0.034168876
384,5,65.279032,0.033999496
392,5,66.657583,0.034008971
400,5,67.810941,0.033905470
8,6,3.121495,0.065031142
16,6,4.539247,0.047283828
24,6,6.284040,0.043639167
32,6,7.658938,0.039890301
40,6,9.821319,0.040922163
48,6,10.921842,0.037923063
56,6,12.398069,0.036899014
64,6,14.052608,0.036595333
72,6,15.691783,0.036323571
80,6,17.264063,0.035966799
88,6,18.817674,0.035639534
96,6,20.317292,0.035273077
104,6,21.919421,0.035127277
112,6,23.527723,0.035011492
120,6,25.146998,0.034926386
128,6,26.740697,0.034818616
136,6,28.273508,0.034648907
144,6,29.836206,0.034532646
152,6,31.403646,0.034433822
160,6,33.101091,0.034480303
168,6,34.703697,0.034428271
176,6,36.351635,0.034423897
184,6,37.712832,0.034160174
192,6,39.332822,0.034143075
200,6,40.828859,0.034024049
208,6,42.330726,0.033918851
216,6,44.284127,0.034169851
224,6,45.819317,0.034091754
232,6,47.419839,0.034065976
240,6,48.838721,0.033915778
248,6,50.284717,0.033793492
256,6,51.926235,0.033806143
264,6,53.775558,0.033949216
272,6,55.260932,0.033860865
280,6,56.547073,0.033658972
288,6,58.671201,0.033953241
296,6,59.823494,0.033684400
304,6,62.049045,0.034018117
312,6,63.120401,0.033718163
320,6,64.616929,0.033654651
328,6,66.069437,0.033571868
336,6,67.966508,0.033713546
344,6,69.428769,0.033637970
352,6,71.330937,0.033774118
360,6,72.630293,0.033625136
368,6,75.535704,0.034210011
376,6,77.221914,0.034229572
384,6,79.710321,0.034596494
392,6,79.699984,0.033886048
400,6,81.817490,0.034090621
8,7,3.502210,0.062539462
16,7,5.744577,0.051290868
24,7,7.636865,0.045457528
32,7,8.969907,0.040044228
40,7,10.345157,0.036946989
48,7,12.220326,0.036370018
56,7,14.014952,0.035752429
64,7,15.874587,0.035434347
72,7,17.763086,0.035244218
80,7,19.525629,0.034867194
88,7,21.260969,0.034514561
96,7,23.065429,0.034323555
104,7,24.928404,0.034242313
112,7,26.691049,0.034044706
120,7,28.448789,0.033867606
128,7,30.268242,0.033781520
136,7,32.016920,0.033631219
144,7,33.866028,0.033597250
152,7,35.666584,0.033521225
160,7,37.475532,0.033460296
168,7,39.243138,0.033370016
176,7,41.007413,0.033285238
184,7,42.840197,0.033261022
192,7,44.629369,0.033206376
200,7,46.393592,0.033138280
208,7,48.155672,0.033073951
216,7,50.026850,0.033086541
224,7,51.810689,0.033042531
232,7,53.672116,0.033049333
240,7,55.456394,0.033009758
248,7,57.241129,0.032973000
256,7,59.117261,0.032989543
264,7,60.848553,0.032926706
272,7,62.700213,0.032930784
280,7,64.583290,0.032950658
288,7,66.179109,0.032826939
296,7,67.965082,0.032801680
304,7,69.870745,0.032833997
312,7,71.573656,0.032771820
320,7,73.343604,0.032742680
328,7,75.318298,0.032804137
336,7,77.123384,0.032790554
344,7,78.778101,0.032715158
352,7,80.475337,0.032660445
360,7,82.413322,0.032703699
368,7,84.251685,0.032706399
376,7,85.891741,0.032633640
384,7,87.709734,0.032630109
392,7,89.620075,0.032660377
400,7,91.236972,0.032584633
8,8,3.566701,0.055729709
16,8,5.485820,0.042857972
24,8,7.578481,0.039471256
32,8,9.437151,0.036863871
40,8,11.403765,0.035636764
48,8,13.370081,0.034817920
56,8,15.627141,0.034882010
64,8,17.741327,0.034651030
72,8,19.474416,0.033809750
80,8,21.824284,0.034100444
88,8,23.728550,0.033705326
96,8,25.845480,0.033652969
104,8,27.886569,0.033517511
112,8,29.850078,0.033314819
120,8,31.896875,0.033225911
128,8,33.920384,0.033125375
136,8,35.944576,0.033037294
144,8,38.218865,0.033176098
152,8,40.075601,0.032956909
160,8,42.403752,0.033127931
168,8,44.135093,0.032838611
176,8,46.108361,0.032747415
184,8,48.104663,0.032679799
192,8,50.359601,0.032786199
200,8,52.280884,0.032675553
208,8,54.239385,0.032595784
216,8,56.124158,0.032479258
224,8,58.566655,0.032682285
232,8,60.176502,0.032422684
240,8,62.332981,0.032465094
248,8,64.710598,0.032616229
256,8,66.436173,0.032439538
264,8,68.586006,0.032474435
272,8,70.524845,0.032410315
280,8,72.434606,0.032336878
288,8,74.632831,0.032392722
296,8,76.383918,0.032256722
304,8,78.566818,0.032305435
312,8,80.747986,0.032350956
320,8,82.649736,0.032285053
328,8,84.718581,0.032286044
336,8,86.588210,0.032212876
344,8,88.981445,0.032333374
352,8,90.806703,0.032246698
360,8,92.706731,0.032189837
368,8,94.878409,0.032227720
376,8,96.937597,0.032226595
384,8,98.817725,0.032167228
392,8,100.838407,0.032155104
400,8,102.895354,0.032154798
